dataset,model,seed,kind,source,bytes,sha256
MNIST_ROWS,JEPA-MAE,7,predictions_path,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/JEPA-MAE/test_predictions.npz,315914,17773ec42f94c243cfa3d5158d44e7272314ba31f7be2a97a10ddc3eaf7a3cb2
MNIST_ROWS,JEPA-MAE,7,selected_checkpoint,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/JEPA-MAE/downstream_best.pt,1143178,f9a5b7353043a128dc248cd0d0b55033c678c5ead0db980ee329ee576389a940
MNIST_ROWS,JEPA-MAE,7,pretrain_checkpoint,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/JEPA-MAE/logs/output_model/SMOKE_MNIST_ROWS/lr_0.002_ema_momentum_0.9_mask_ratio_0.4_ratio_patches_5_encoder_64_4_2_predictor_64_4_2_dual_jepa_mae_ljepa_0.01_lmae_1.0_cfg_4685b676a1ce_epoch_29.pt,4076570,b439baed331a0a1fa528a58e3b5f628bcc6c797a0316ed1b9301b1abb92acd1b
MNIST_ROWS,JEPA-only,7,predictions_path,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/JEPA-only/test_predictions.npz,315914,0363b11853ca5eca5069b340ffe551bc4052a539eaab7e6b036e9881206ea062
MNIST_ROWS,JEPA-only,7,selected_checkpoint,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/JEPA-only/downstream_best.pt,1143178,13d386251f7ceebd95fcfa631dc2c91055d5a883a5e7462bddc9c4733015774b
MNIST_ROWS,JEPA-only,7,pretrain_checkpoint,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/JEPA-only/logs/output_model/SMOKE_MNIST_ROWS/lr_0.002_ema_momentum_0.9_mask_ratio_0.4_ratio_patches_5_encoder_64_4_2_predictor_64_4_2_dual_jepa_mae_ljepa_1.0_lmae_0.0_cfg_907083a69019_epoch_29.pt,4076237,098ab773f38266ced21080f336489ff3dee1e41c83c4c338014b6c851861645a
MNIST_ROWS,MAE-only,7,predictions_path,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/MAE-only/test_predictions.npz,315914,93014d48b40b12d4e8177797cf352374f1e948334666f91211d546691730b19c
MNIST_ROWS,MAE-only,7,selected_checkpoint,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/MAE-only/downstream_best.pt,1143178,c8f064963c97eb19be588309ceaa09b77f3241a4fea52de4b723a0a9c31f0dfd
MNIST_ROWS,MAE-only,7,pretrain_checkpoint,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/MAE-only/logs/output_model/SMOKE_MNIST_ROWS/lr_0.002_ema_momentum_0.9_mask_ratio_0.4_ratio_patches_5_encoder_64_4_2_predictor_64_4_2_dual_jepa_mae_ljepa_0.0_lmae_1.0_cfg_1d7f42f23133_epoch_29.pt,4076237,bb3b76a37496fb239c40a80c97057da296aaf6944b1e4f3fea9cf82f042e1d6f
MNIST_ROWS,GRU,7,predictions_path,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/GRU/test_predictions.npz,315914,288ab8ccd4149c286007798cfc395aa8e7341517140bc7a37f62d22568950278
MNIST_ROWS,GRU,7,selected_checkpoint,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/GRU/downstream_best.pt,279465,1885cf92bf776e7755df7551acf80caaa96be870bb0048a992ba977ef3270636
MNIST_ROWS,Naive-last,7,predictions_path,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/Naive-last/test_predictions.npz,315914,0b0bdd8349c2b5b57dba11eab601a664a7ad17e00da3782a0ea7cc81b795ba50
MNIST_ROWS,Drift,7,predictions_path,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/Drift/test_predictions.npz,315914,cb47ad7628d42c004a8725385083adc2f97b302e76c24d550b7f2877985201ab
MNIST_ROWS,Mean-context,7,predictions_path,results/00_model_comparison_repeat/MNIST_ROWS/seed_7/Mean-context/test_predictions.npz,315914,0f17ad03b2b2566bab9b416942044a5704c390d03f7c63607d52162083787fb6
SIN_COS,JEPA-MAE,7,predictions_path,results/00_model_comparison_repeat/SIN_COS/seed_7/JEPA-MAE/test_predictions.npz,2954,de1460ddeb95b69a3ad17571ee1bd14b4b7b75b58511bf23e051159831ebe9f5
SIN_COS,JEPA-MAE,7,selected_checkpoint,results/00_model_comparison_repeat/SIN_COS/seed_7/JEPA-MAE/downstream_best.pt,50926,70b45fd06a0187d816a2c21c81247dedaa2667c7725dad03f4984c7ee9d60a1b
SIN_COS,JEPA-MAE,7,pretrain_checkpoint,results/00_model_comparison_repeat/SIN_COS/seed_7/JEPA-MAE/logs/output_model/SMOKE_SIN_COS/lr_0.001_ema_momentum_0.9_mask_ratio_0.4_ratio_patches_5_encoder_16_2_1_predictor_8_2_1_dual_jepa_mae_ljepa_0.7_lmae_0.3_cfg_1739fc17a160_epoch_0.pt,199763,59e996efbdb30660a0d50a79eb3c990b35baa2d9d5098a2f39cfde449ddb20a5
